212044	9607217
212044	9608434
212044	9609207
212044	9610480
212044	9702354
212044	9703432
212044	9711485
212044	9711488
212044	9812449
212044	9901384
212044	9912376
208124	1119
208124	101300
208124	102071
208124	108213
208124	111066
208124	111343
208124	112166
208124	201091
208124	204056
208124	206309
208124	9208213
208124	9409254
208124	9504220
208124	9508347
208124	9510301
208124	9603428
208124	9605439
208124	9608434
208124	9609207
208124	9610480
208124	9702354
208124	9707515
208124	9711485
208124	9711488
208124	9812522
208124	9912376
108200	102122
108200	102145
108200	102146
108200	102147
108200	102157
108200	102176
108200	102180
108200	102204
108200	102211
108200	102238
108200	102243
108200	102255
108200	102259
108200	102297
108200	102304
108200	102312
108200	102315
108200	102331
108200	102344
108200	103028
108200	103034
108200	103048
108200	103050
108200	103064
108200	103067
108200	103069
108200	103083
108200	103126
108200	103223
108200	103280
108200	104141
108200	104225
108200	105014
108200	9304312
108200	9609290
108200	9808388
108200	9902406
112215	7358
112215	12290
9607235	9304225
9607235	9307247
9607235	9307291
9607235	9308246
9607235	9308287
9607235	9308288
9607235	9311325
9607235	9312359
9607235	9402288
9607235	9402326
9607235	9403313
9607235	9405207
9607235	9405410
9607235	9406251
9607235	9409440
9607235	9502346
9607235	9503486
9607235	9503492
9607235	9506476
9607235	9507283
9607235	9602262
9607235	9603314
9607235	9604225
9607235	9605201
